fecha_dato,AC,C_C,NM,CV
2013-02-05 20:00:00,9.6,IN,4,MZC74-275
2013-02-01 02:00:00,8.02,IN,7,CC93-4418
2013-02-27 18:00:00,2.2,IN,8,CC85-92
2013-02-27 18:00:00,1.09,IN,8,CC85-92
2013-02-23 20:00:00,4.51,IN,2,CC85-92
2013-02-23 20:00:00,1.95,IN,2,CC85-92
2013-02-17 15:00:00,1.96,IN,17,CC93-4418
2013-02-27 21:00:00,5.54,IN,17,CC 03-154
2013-02-28 21:00:00,1.4,IN,17,CC85-92
2013-02-28 23:00:00,1,IN,17,CC85-92
2013-02-26 19:00:00,1.1,IN,17,CC85-92
2013-02-22 18:00:00,4.76,IN,17,CC85-92
2013-02-15 21:00:00,2.37,IN,17,VARIAS
2013-02-15 21:00:00,0.25,IN,17,VARIAS
2013-02-23 23:00:00,5.1,IN,17,VARIAS
2013-02-15 21:00:00,0.2,IN,17,VARIAS
2013-02-15 21:00:00,0.2,IN,17,VARIAS
2013-02-15 21:00:00,1.67,IN,17,VARIAS
2013-02-15 21:00:00,0.2,IN,17,VARIAS
2013-02-15 21:00:00,0.2,IN,17,VARIAS
2013-02-13 19:00:00,7,IN,17,PR61-632
2013-02-27 21:00:00,2,IN,17,CC85-92
2013-02-17 11:00:00,2,IN,17,PR61-632
2013-02-24 22:00:00,3.76,IN,17,CC85-92
2013-02-03 19:00:00,5.41,IN,17,CC85-92
2013-02-20 14:00:00,2.31,IN,17,CC93-4181
2013-02-28 20:00:00,4.77,IN,17,CC85-92
2013-02-26 20:00:00,7.54,IN,17,CC84-75
2013-02-06 21:00:00,9,IN,12,CC85-92
2013-02-07 14:00:00,2.82,IN,12,CC85-92
2013-02-05 17:00:00,0.1,IN,6,CC85-92
2013-02-11 13:00:00,17.16,IN,4,CC85-92
2013-02-11 13:00:00,14.92,IN,4,CC85-92
2013-02-11 15:00:00,17.85,IN,12,CC85-92
2013-02-12 15:00:00,10.52,IN,12,CC85-92
2013-02-14 16:00:00,20.43,IN,12,CC85-92
2013-02-15 13:00:00,3.23,IN,11,CC85-92
2013-02-16 18:00:00,13.56,IN,12,CC85-92
2013-02-18 15:00:00,13.73,IN,9,CC44-81
2013-02-19 18:00:00,5.33,IN,12,CC85-92
2013-02-20 15:00:00,8.27,IN,25,CC85-92
2013-02-22 19:00:00,14.41,IN,9,CC84-75
2013-02-23 18:00:00,1.55,IN,12,CC85-92
2013-02-01 17:00:00,6.55,IN,4,CC44-81
2013-02-01 17:00:00,2.73,IN,4,CC44-81
2013-02-04 15:00:00,14.41,IN,4,CC85-92
2013-02-07 14:00:00,3.06,IN,12,CC85-92
2013-02-09 15:00:00,16.72,IN,21,CC85-92
2013-02-10 14:00:00,11.34,IN,12,CC85-92
2013-02-03 17:00:00,1.44,IN,6,CC85-92
2013-02-03 17:00:00,1.7,IN,6,CC85-92
2013-02-03 17:00:00,0.7,IN,6,CC85-92
2013-02-13 20:00:00,2.56,IN,7,CC85-92
2013-02-24 16:00:00,0.92,IN,6,CC85-92
2013-02-24 16:00:00,0.96,IN,6,CC85-92
2013-02-07 20:00:00,1.5,IN,7,CC85-92
2013-02-28 14:00:00,0.82,IN,6,CC85-92
2013-02-28 16:00:00,3.05,IN,6,CC85-92
2013-02-07 22:00:00,1.35,IN,10,CC85-92
2013-02-17 19:00:00,4.87,IN,6,CC85-92
2013-02-19 18:00:00,4.87,IN,6,CC85-92
2013-02-19 18:00:00,5.96,IN,6,CC85-92
2013-02-09 20:00:00,4.18,IN,7,CC85-92
2013-02-21 22:00:00,6.91,IN,10,CC85-92
2013-02-21 22:00:00,7.04,IN,10,CC85-92
2013-02-03 17:00:00,0.38,IN,10,CC 8592
2013-02-16 23:00:00,9.3,IN,6,CC 8592
2013-03-26 20:00:00,5.46,IN,22,CC85-92
