ID,fecha_dato,AC,C_C,NM,CV
1777,2014-11-16 05:00:00,16.62,IN,8,CC85-92
1778,2014-11-16 17:00:00,10.23,IN,12,SP19-49
1779,2014-11-17 20:00:00,2.33,IN,10,CC85-92
1780,2014-11-17 22:00:00,3.71,IN,10,CC85-92
1781,2014-11-18 14:00:00,2.29,IN,23,CC85-92
1782,2014-11-18 15:00:00,15.54,IN,9,CC85-92
1783,2014-11-18 16:00:00,3.22,IN,7,CC85-92
1784,2014-11-19 14:00:00,2.44,IN,6,CC85-92
1785,2014-11-19 22:00:00,2.85,IN,10,CC 8592
1786,2014-11-19 23:00:00,4,IN,1,CC 8592
1787,2014-11-20 18:00:00,9,IN,17,CC85-92
1788,2014-11-20 21:00:00,1,IN,10,CC85-92
1789,2014-11-20 23:00:00,12,IN,1,CC 8592
1790,2014-11-21 19:00:00,11.45,IN,17,MZC 84-04
1791,2014-11-21 23:00:00,2.5,IN,1,CC 8592
1792,2014-11-22 16:00:00,1,IN,9,CC 92-2198
1793,2014-11-22 23:00:00,3.9,IN,4,CC93-4418
1794,2014-11-23 13:00:00,11.24,IN,17,CC 85-92
1795,2014-11-23 17:00:00,4.7,IN,12,SP19-49
1796,2014-11-23 18:00:00,3.26,IN,12,SP19-49
1797,2014-11-23 19:00:00,5.4,IN,13,CC85-92
1798,2014-11-23 20:00:00,1.2,IN,17,CC 85-92
1799,2014-11-24 07:00:00,11.44,IN,8,CC85-92
1800,2014-11-24 15:00:00,0.97,IN,9,CC01-1940
1801,2014-11-24 20:00:00,33.09,IN,3,CC 8592
1802,2014-11-25 22:00:00,1,IN,12,CC93-4418
1803,2014-11-26 22:00:00,0.42,IN,7,CC85-92
1804,2014-11-27 18:00:00,9.04,IN,17,CC44-18
1805,2014-11-28 10:00:00,11.49,IN,1,CC 8592
1806,2014-11-28 18:00:00,6,IN,17,CC 85-92
1807,2014-11-28 19:00:00,2.03,IN,6,CC85-92
1808,2014-11-29 15:00:00,0.84,IN,17,CC 85-92
1809,2014-11-29 17:00:00,0.83,IN,17,CC 85-92
